"lga","acc_year","acc_month","acc_nos","acc_vehicles","acc_persons","acc_cyclists","acc_females","acc_males","acc_deaths","acc_injs","acc_avgage","acc_avgsev","acc_lat","acc_long","acc_citydist","acc_date","acc_genderbal"
"Maroondah","2007","3","24","50","62","4","31","27","0","27","34.3667","1.3750","-37.81302308603138","145.2695111226508","27.175322295565195","15/03/2007","-4"
"Casey","2007","3","56","105","156","0","80","68","2","91","30.5197","1.4821","-38.05351086174185","145.28067762687718","38.82740146096934","15/03/2007","-12"
"Strathbogie","2007","3","2","2","3","0","3","0","0","3","26.3333","1.0000","-36.771031207670376","145.33097930186045","120.37671509004619","15/03/2007","-3"
"Greater Shepparton","2007","3","22","37","53","5","18","24","1","27","33.1837","1.5000","-36.405653688609476","145.3688466740443","160.59152210267948","15/03/2007","6"
"Yarra Ranges","2007","3","35","55","69","1","27","38","0","49","35.8824","1.5429","-37.7934511683747","145.42078661565648","40.52575406111254","15/03/2007","11"
"Cardinia","2007","3","18","26","49","0","21","23","0","19","26.1277","1.5556","-38.021789974360395","145.47370911678772","50.69828170074033","15/03/2007","2"
"Murrindindi","2007","3","8","12","16","0","3","11","0","8","35.1250","1.3750","-37.43365181703069","145.53427263088963","65.82132465987269","15/03/2007","8"
"Moira","2007","3","6","7","10","0","3","7","0","7","36.8000","1.6667","-36.03643953993553","145.58061742505097","205.05893433012827","15/03/2007","4"
"Bass Coast","2007","3","8","10","16","0","6","8","0","11","32.5333","1.5000","-38.52704772579022","145.62425077660038","98.39066627381038","15/03/2007","2"
"South Gippsland","2007","3","10","15","27","0","11","16","0","23","30.4444","1.6000","-38.508890630642576","145.91036261251358","113.55730690985398","15/03/2007","5"
"Benalla","2007","3","6","9","13","1","6","7","0","6","36.9231","1.6667","-36.63212539629233","145.99545373754947","160.1039880979653","15/03/2007","1"
"Baw Baw","2007","3","10","14","22","0","8","14","0","11","27.4545","1.3000","-38.069708427855915","146.03381480599302","98.39504543194242","15/03/2007","6"
"Mansfield","2007","3","8","9","9","0","2","7","0","9","40.1111","1.6250","-37.04427064449166","146.0949611605595","131.6819212332575","15/03/2007","5"
"Wangaratta","2007","3","5","7","9","0","3","6","0","7","29.2222","2.0000","-36.458094778677584","146.3827333585059","196.43338993069736","15/03/2007","3"
"Latrobe","2007","3","15","26","40","1","16","21","0","22","36.3590","1.5333","-38.22822314012937","146.41686559185933","135.7129072446325","15/03/2007","5"
"Indigo","2007","3","3","3","4","0","2","2","0","4","22.0000","1.6667","-36.09131686695172","146.54515336725328","237.62788067079282","15/03/2007","0"
"Wellington","2007","3","15","23","26","1","11","11","0","18","32.7692","1.2000","-38.171774987987824","146.8619263029863","171.3700657037684","15/03/2007","0"
"Wodonga","2007","3","8","18","22","1","9","12","0","9","30.9091","1.2500","-36.11885469912015","146.87258006639144","253.64120330417285","15/03/2007","3"
"Alpine","2007","3","4","4","5","0","1","4","0","4","43.0000","1.7500","-36.857238314421","147.11315438464237","217.97946491666752","15/03/2007","3"
"Towong","2007","3","4","4","4","0","0","4","0","4","41.5000","1.7500","-36.27586472729193","147.55901169953236","287.03662414798566","15/03/2007","4"
"East Gippsland","2007","3","14","19","33","1","11","19","1","21","30.4688","1.7143","-37.564795726008924","148.01484140416318","270.1886069733724","15/03/2007","8"
"Glenelg","2007","4","5","7","12","0","7","5","1","6","50.2500","1.8000","-38.11997671507555","141.45324050329356","309.30173434221297","15/04/2007","-2"
"West Wimmera","2007","4","1","1","1","0","0","1","0","1","39.0000","2.0000","-36.765288605593476","141.6154379910058","317.9616463249103","15/04/2007","1"
"Hindmarsh","2007","4","1","1","3","0","0","3","0","3","18.6667","2.0000","-36.26067723976047","141.6297256377509","342.2639361164202","15/04/2007","3"
"Southern Grampians","2007","4","1","1","1","0","1","0","0","1","26.0000","1.0000","-37.587434841266294","141.98028541087663","263.35104895270564","15/04/2007","-1"
"Mildura","2007","4","10","15","25","0","9","15","0","17","32.3750","1.4000","-34.248191560649126","142.1610798917819","469.45673408714964","15/04/2007","6"
"Horsham","2007","4","4","7","18","0","4","8","0","10","35.4167","1.5000","-36.7043903738851","142.2154059527621","272.3678477506168","15/04/2007","4"
"Yarriambiack","2007","4","1","1","1","0","0","1","0","1","59.0000","2.0000","-36.206509194148666","142.35953252975085","291.9001520350032","15/04/2007","1"
"Warrnambool","2007","4","2","3","4","0","3","1","0","2","22.7500","1.5000","-38.36075907974789","142.4728199627957","226.0523591837186","15/04/2007","-2"
"Northern Grampians","2007","4","2","2","6","0","3","3","0","6","27.1667","2.0000","-37.1037401887296","142.4857931377929","232.18299452701783","15/04/2007","0"
"Moyne","2007","4","5","5","6","0","2","4","0","6","38.8333","1.4000","-38.21028264245579","142.51997696604894","218.29970293821162","15/04/2007","2"
"Ararat","2007","4","4","8","12","0","5","6","0","8","39.0000","1.5000","-37.28334123171555","142.92910838903612","188.4773302290149","15/04/2007","1"
"Corangamite","2007","4","9","12","24","0","12","12","2","16","32.9167","1.3333","-38.4942262002395","143.13379920465846","176.76242637341426","15/04/2007","0"
"Buloke","2007","4","1","1","1","0","0","1","0","1","48.0000","2.0000","-36.26813535527686","143.34898778798836","223.47445829151405","15/04/2007","1"
"Swan Hill","2007","4","1","2","2","0","1","1","0","1","46.5000","1.0000","-35.35020217804265","143.51051188081976","302.85247227605237","15/04/2007","0"
"Colac-Otway","2007","4","6","8","12","1","6","5","1","7","25.3333","1.6667","-38.55625434359698","143.6489835447097","141.31285066281822","15/04/2007","-1"
"Central Goldfields","2007","4","4","5","9","0","6","3","0","5","40.8889","1.7500","-37.02918408032923","143.72807015030475","139.38176494822","15/04/2007","-3"
"Ballarat","2007","4","24","46","78","1","32","42","0","36","27.3117","1.5000","-37.560925933905146","143.8655772279761","100.30204089981217","15/04/2007","10"
"Golden Plains","2007","4","10","13","23","0","10","13","0","18","25.6957","1.5000","-37.852404381390556","143.89280799669206","93.84123034631078","15/04/2007","3"
"Gannawarra","2007","4","3","5","14","0","12","2","1","7","34.2143","1.6667","-35.65527813199865","143.98339747144777","255.18618103123592","15/04/2007","-10"
"Surf Coast","2007","4","7","11","18","0","6","12","0","13","21.3889","1.5714","-38.34184164426613","144.12875288109598","93.5870877038427","15/04/2007","6"
"Loddon","2007","4","1","1","2","0","2","0","0","2","29.0000","2.0000","-36.31305940202586","144.23192809338184","178.8257668955549","15/04/2007","-2"
"Hepburn","2007","4","2","2","2","0","1","1","0","2","30.5000","1.5000","-37.27385286148651","144.27784202423956","84.89988435264114","15/04/2007","0"
"Moorabool","2007","4","7","9","10","0","3","6","0","8","27.6000","1.1429","-37.60703357873248","144.28067925125046","63.99553941441515","15/04/2007","3"
"Greater Bendigo","2007","4","22","43","65","1","32","28","1","35","33.5968","1.4545","-36.763941041548314","144.31988823804141","129.63765627076998","15/04/2007","-4"
"Mount Alexander","2007","4","4","6","13","0","5","8","0","8","29.6154","2.0000","-37.08355426606364","144.32534001824544","98.55363489134085","15/04/2007","3"
"Greater Geelong","2007","4","40","68","99","6","36","53","1","60","34.8710","1.5750","-38.1448767464264","144.40373624258126","61.18210798857044","15/04/2007","17"
"Campaspe","2007","4","5","6","13","1","6","6","1","8","26.6923","1.8000","-36.300090641060024","144.6372387332373","170.61074164695103","15/04/2007","0"
"Wyndham","2007","4","22","44","58","6","17","37","0","29","30.6379","1.4091","-37.87157279608463","144.6827820590023","25.22302022766462","15/04/2007","20"
"Melton","2007","4","13","27","39","1","15","22","1","21","35.6316","1.9231","-37.72435345288613","144.68632564636485","25.994480969740867","15/04/2007","7"
"Macedon Ranges","2007","4","7","9","11","1","3","6","0","7","38.0909","1.1429","-37.402010595021245","144.69382714117071","51.33434244241213","15/04/2007","3"
"Brimbank","2007","4","25","50","66","1","24","40","1","30","31.5077","1.7200","-37.74546986810094","144.80009998903918","15.926730966263479","15/04/2007","16"
"Hobsons Bay","2007","4","10","18","22","1","2","17","0","10","35.4500","1.3000","-37.8393337777238","144.8438720446569","10.636215947785477","15/04/2007","15"
"Maribyrnong","2007","4","17","27","37","1","10","22","0","22","27.2353","1.5882","-37.80371954899209","144.8819807690143","6.939315890141663","15/04/2007","12"
"Moonee Valley","2007","4","21","43","59","1","25","27","1","27","31.1552","1.4762","-37.75283319232095","144.89861558726435","8.571656387491126","15/04/2007","2"
"Hume","2007","4","26","43","71","1","24","41","1","40","32.1912","1.7308","-37.64229025855835","144.90007022167606","19.665063075386904","15/04/2007","17"
"Moreland","2007","4","28","51","75","1","28","40","0","34","40.4286","1.5357","-37.749983069355316","144.95581442269417","6.977231626983573","15/04/2007","12"
"Melbourne","2007","4","58","103","154","16","50","80","1","68","30.7143","1.5345","-37.81776960161382","144.9616116383623","0.5848267101116725","15/04/2007","30"
"Mitchell","2007","4","10","18","35","0","16","18","1","13","28.3143","1.6000","-37.25909250408401","144.97296838449154","61.5616761615054","15/04/2007","2"
"Port Phillip","2007","4","21","40","53","5","18","25","0","22","32.5106","1.6667","-37.860419633267874","144.97642314761907","5.501826580912492","15/04/2007","7"
"Yarra","2007","4","21","37","42","10","15","23","0","21","35.7949","1.1905","-37.804458428446836","144.99162153715915","2.909740431254972","15/04/2007","8"
"Darebin","2007","4","28","57","79","4","33","36","0","37","29.9324","1.5357","-37.73510636732691","145.01236569758308","9.766066525847622","15/04/2007","3"
"Stonnington","2007","4","22","38","50","5","16","27","0","26","34.1556","1.4545","-37.853122890460284","145.0155314723147","6.626791714668129","15/04/2007","11"
"Bayside","2007","4","15","29","39","6","12","26","0","17","32.3077","1.4000","-37.94029770006863","145.01687357781745","15.042726941728503","15/04/2007","14"
"Mornington Peninsula","2007","4","29","48","70","3","22","46","0","40","36.2609","1.4828","-38.313073839845806","145.0349435327077","56.0298933919525","15/04/2007","24"
"Glen Eira","2007","4","12","23","27","4","7","18","0","12","34.2692","1.2500","-37.909501685416345","145.04791632133538","13.242520791509499","15/04/2007","11"
"Boroondara","2007","4","26","47","57","7","17","40","0","34","33.1579","1.5000","-37.81930596199033","145.05548940971565","8.406772050353105","15/04/2007","23"
"Whittlesea","2007","4","20","31","47","1","16","29","0","23","30.7609","1.4000","-37.62830552384689","145.05870778762602","22.254145100357874","15/04/2007","13"
"Banyule","2007","4","17","36","38","2","15","21","0","20","34.6216","1.4118","-37.73408693826861","145.07532776315634","13.369867103759209","15/04/2007","6"
"Kingston","2007","4","29","53","89","3","37","48","1","41","34.1512","1.3103","-38.0017235303882","145.09573123414427","24.156630586141002","15/04/2007","11"
"Monash","2007","4","36","68","83","3","33","46","1","39","35.3544","1.4722","-37.892903414546396","145.13369776278157","17.658071743611693","15/04/2007","13"
"Manningham","2007","4","18","34","48","0","21","25","0","23","34.8298","1.4444","-37.7737587803599","145.15043177672493","17.268959476324742","15/04/2007","4"
"Whitehorse","2007","4","22","44","68","4","25","40","0","29","39.8154","1.5909","-37.822523012352704","145.1518852542538","16.877095917496646","15/04/2007","15"
"Frankston","2007","4","20","41","66","3","28","31","0","28","25.1846","1.4500","-38.12688181099584","145.17380609873453","39.644820830239844","15/04/2007","3"
"Nillumbik","2007","4","7","14","14","0","3","11","0","7","30.7857","1.2857","-37.67930565788966","145.19230747876068","25.227772358276304","15/04/2007","8"
"Greater Dandenong","2007","4","35","63","100","3","29","52","0","62","32.8229","1.5429","-37.97633876672138","145.194968321038","27.493168313675074","15/04/2007","23"
"Knox","2007","4","28","60","101","1","41","57","1","45","29.0297","1.4643","-37.88084028137926","145.25755620000646","27.19207208622955","15/04/2007","16"
"Maroondah","2007","4","8","15","28","1","8","18","0","10","24.2500","1.2500","-37.81442456432706","145.2663665819914","26.89953277057992","15/04/2007","10"
"Casey","2007","4","50","86","126","2","57","63","0","71","32.2661","1.3800","-38.051486513798714","145.2844990819831","38.917049960898545","15/04/2007","6"
"Greater Shepparton","2007","4","12","20","27","0","8","18","1","15","38.5385","1.7500","-36.3739065522036","145.43656040809213","165.46486765461287","15/04/2007","10"
"Yarra Ranges","2007","4","62","93","127","3","38","84","2","77","33.0317","1.4839","-37.75383551074629","145.4576640469304","44.207428790424025","15/04/2007","46"
"Bass Coast","2007","4","13","26","50","1","25","24","1","19","36.3878","1.4615","-38.48658834448484","145.48231727328815","87.75370605433784","15/04/2007","-1"
"Cardinia","2007","4","20","38","63","1","30","32","1","27","34.1129","1.7000","-38.053210263774126","145.51512877802386","55.53898676658686","15/04/2007","2"
"Strathbogie","2007","4","1","1","2","0","1","1","0","1","27.5000","1.0000","-36.78877156102257","145.54840091740942","125.17399075229957","15/04/2007","0"
"Murrindindi","2007","4","18","18","21","1","4","17","0","21","34.8095","1.4444","-37.41815702607802","145.57406644577344","69.62705224463807","15/04/2007","13"
"Moira","2007","4","10","16","21","0","6","15","1","14","43.6667","2.1000","-36.00275324545093","145.59803917646803","209.0870163623613","15/04/2007","9"
"South Gippsland","2007","4","9","12","16","1","8","8","0","10","36.5000","1.4444","-38.498013036093774","145.94292656319735","114.85504781996147","15/04/2007","0"
"Baw Baw","2007","4","20","23","29","0","8","21","1","26","33.9655","1.5000","-38.044687814012605","146.056509954746","99.55972317159478","15/04/2007","13"
"Mansfield","2007","4","5","6","8","0","0","8","0","6","42.6250","1.2000","-37.26702971530579","146.15044647607687","121.21990503420228","15/04/2007","8"
"Latrobe","2007","4","23","36","46","2","21","25","0","29","38.4565","1.6087","-38.223489925769115","146.38250863016972","132.70888370567846","15/04/2007","4"
"Wangaratta","2007","4","4","5","6","1","1","5","0","5","35.3333","1.7500","-36.4357131170839","146.4025748942539","199.48272858395268","15/04/2007","4"
"Indigo","2007","4","3","4","5","0","3","2","0","3","43.6000","1.6667","-36.34903976743766","146.8135069553945","231.3256842730421","15/04/2007","-1"
"Wodonga","2007","4","3","8","9","0","7","2","0","4","35.1111","1.3333","-36.12393531304745","146.87841688629263","253.56638780928697","15/04/2007","-5"
"Wellington","2007","4","7","10","16","0","6","9","1","10","28.0000","1.4286","-37.93583178517248","146.9872731860055","178.44853746107853","15/04/2007","3"
"Alpine","2007","4","1","1","3","0","0","3","0","2","72.3333","1.0000","-36.40020239869884","147.03589486844675","241.95931675345258","15/04/2007","3"
"Towong","2007","4","8","10","16","0","6","10","0","14","44.0000","1.6250","-36.23668101062519","147.37443941008175","276.83016811457","15/04/2007","4"
"East Gippsland","2007","4","6","8","10","0","3","7","0","7","36.5000","1.3333","-37.63598545728406","148.22588785213804","287.8807170847533","15/04/2007","4"
"Glenelg","2007","5","5","8","13","1","4","8","0","7","34.7692","1.4000","-38.21719811999786","141.60814725267852","297.06120898527195","15/05/2007","4"
"Mildura","2007","5","3","3","6","0","2","3","0","4","46.4000","2.0000","-34.56070513764205","141.80299682416342","459.3165476249496","15/05/2007","1"
"Southern Grampians","2007","5","6","12","16","0","7","9","0","11","41.3750","1.8333","-37.737034312147166","142.0640538796803","254.67061945926363","15/05/2007","2"
"Horsham","2007","5","2","3","3","1","1","2","0","2","28.6667","1.5000","-36.88759366560916","142.21112366069104","263.85637604777935","15/05/2007","1"
"Warrnambool","2007","5","6","11","16","1","7","8","0","7","35.2000","1.6667","-38.37676419688628","142.47852952642208","226.0356366645873","15/05/2007","1"
"Moyne","2007","5","1","2","2","0","1","1","0","1","51.5000","1.0000","-38.38418052981831","142.6220848396865","214.2293686362805","15/05/2007","0"
"Swan Hill","2007","5","1","1","1","0","1","0","1","0","57.0000","3.0000","-34.66837426120442","142.83361134387073","398.2282181815735","15/05/2007","-1"
"Ararat","2007","5","1","1","2","0","1","0","0","1","52.0000","2.0000","-37.28447808539431","142.92799320081158","188.53001768751082","15/05/2007","-1"
"Corangamite","2007","5","6","8","11","0","4","7","0","9","41.7273","1.6667","-38.41363917636669","143.04615529109165","180.28938179282662","15/05/2007","3"
"Buloke","2007","5","2","4","4","1","1","3","0","3","47.0000","1.5000","-36.32049241200138","143.1668681204468","229.8720716795333","15/05/2007","2"
"Northern Grampians","2007","5","1","2","2","1","1","1","0","1","30.5000","2.0000","-36.61933430713913","143.26102003879228","200.6043438334848","15/05/2007","0"
"Pyrenees","2007","5","2","2","2","0","1","1","0","2","32.0000","1.0000","-37.077569619583244","143.4476844620584","156.55122953750416","15/05/2007","0"
"Colac-Otway","2007","5","4","5","11","0","4","6","0","10","28.9000","1.7500","-38.465376893833415","143.60614635165047","138.88846098032755","15/05/2007","2"
"Golden Plains","2007","5","3","3","3","0","1","2","0","3","47.0000","1.3333","-37.698584042003944","143.6960641032816","111.85207102161165","15/05/2007","1"
"Central Goldfields","2007","5","2","2","3","0","1","2","1","2","36.6667","2.0000","-37.10961876462543","143.73046075837587","133.7553272324461","15/05/2007","1"
"Gannawarra","2007","5","3","4","4","0","1","2","1","2","27.7500","1.6667","-35.67243013116155","143.83657735060788","258.1752498905548","15/05/2007","1"
"Ballarat","2007","5","17","33","56","1","24","31","0","29","31.3273","1.4118","-37.56592353065572","143.83985932769315","102.32354230792241","15/05/2007","7"
"Hepburn","2007","5","4","7","12","0","7","5","0","7","36.6667","1.2500","-37.36838486953411","144.1123341935023","89.55696760056027","15/05/2007","-2"
"Surf Coast","2007","5","8","11","23","0","6","16","1","21","27.7391","1.7500","-38.290806968409626","144.22793215434655","83.29251198497958","15/05/2007","10"
"Greater Bendigo","2007","5","19","32","57","2","22","30","1","27","26.5926","1.4211","-36.74800866972021","144.2754088197152","132.98200391833993","15/05/2007","8"
"Moorabool","2007","5","3","8","5","0","1","3","0","3","47.5000","1.0000","-37.61238528607462","144.2853618913805","63.39752530677451","15/05/2007","2"
"Greater Geelong","2007","5","37","71","94","3","37","42","0","48","29.0230","1.4324","-38.13021014161029","144.3787195846133","62.00489674038693","15/05/2007","5"
"Macedon Ranges","2007","5","10","18","22","1","5","16","0","12","44.6364","1.5000","-37.33531911145966","144.5740442366683","63.04664011490332","15/05/2007","11"
"Melton","2007","5","14","26","30","1","9","19","0","19","33.0000","1.5714","-37.70629441319058","144.67015680656814","28.102762216557768","15/05/2007","10"
"Wyndham","2007","5","16","32","40","2","15","23","0","21","26.5526","1.6875","-37.87620190347198","144.68311621604627","25.33271589734726","15/05/2007","8"
"Campaspe","2007","5","4","7","8","2","3","5","0","4","45.0000","1.7500","-36.116715061792796","144.71623170943553","189.81885575520366","15/05/2007","2"
"Brimbank","2007","5","39","77","93","2","32","49","1","48","34.4886","1.5385","-37.75787235659425","144.80532246178058","14.907360588273583","15/05/2007","17"
"Hobsons Bay","2007","5","9","16","23","3","12","11","0","11","35.1739","1.1111","-37.853491913678205","144.8484159302562","10.814017967039103","15/05/2007","-1"
"Maribyrnong","2007","5","11","21","35","0","13","19","0","13","35.1212","1.3636","-37.793474325597224","144.87208365585258","8.026126846251358","15/05/2007","6"
"Hume","2007","5","31","65","98","2","38","52","1","40","30.4731","1.5161","-37.649022241315805","144.88859473520023","19.250947837450166","15/05/2007","14"
"Moonee Valley","2007","5","13","26","28","0","11","16","0","14","39.3704","1.4615","-37.750886379215515","144.89665894067326","8.848144184427397","15/05/2007","5"
"Moreland","2007","5","24","41","54","1","15","31","0","29","33.2400","1.3750","-37.74064892094791","144.95545418540044","8.015359613379431","15/05/2007","16"
"Melbourne","2007","5","86","147","225","17","62","121","3","97","34.3959","1.4070","-37.81653870158836","144.96101562648707","0.4403450150178019","15/05/2007","59"
"Port Phillip","2007","5","29","53","66","5","23","36","1","30","35.2459","1.4828","-37.85497614211846","144.97325578809875","4.846374842964181","15/05/2007","13"
"Yarra","2007","5","38","68","101","13","30","54","0","48","30.1538","1.4737","-37.80809396061729","144.99368173706003","2.9879094559588033","15/05/2007","24"
"Bayside","2007","5","16","31","40","6","17","22","0","16","38.5385","1.2500","-37.92070278472521","145.00110201044626","12.542353204972148","15/05/2007","5"
"Darebin","2007","5","30","57","76","3","30","39","0","38","38.8767","1.5000","-37.74072859448907","145.01073182517808","9.148173983763352","15/05/2007","9"
"Mornington Peninsula","2007","5","33","65","94","5","44","50","0","53","40.5532","1.6667","-38.29847666060242","145.0141598859369","54.22943276351548","15/05/2007","6"
"Stonnington","2007","5","22","35","50","5","19","21","0","22","37.2857","1.3636","-37.85590827222615","145.02339845006568","7.3481006989763475","15/05/2007","2"
"Glen Eira","2007","5","18","32","39","2","21","14","0","23","37.1429","1.5556","-37.90379351027794","145.04580733391876","12.620624468866875","15/05/2007","-7"
"Whittlesea","2007","5","19","35","51","0","21","27","0","24","39.3542","1.4737","-37.65165123168248","145.0473174791736","19.472738175183384","15/05/2007","6"
"Mitchell","2007","5","8","10","17","0","10","6","0","13","36.0000","1.6250","-37.2066852812832","145.05643375433965","67.91174032686543","15/05/2007","-4"
"Boroondara","2007","5","34","63","89","4","41","42","0","39","31.5581","1.3235","-37.82261760054126","145.05744790145306","8.617609107839543","15/05/2007","1"
"Banyule","2007","5","14","27","35","0","13","17","0","19","45.8438","1.5714","-37.7437332272911","145.0714078834465","12.421669453235205","15/05/2007","4"
"Kingston","2007","5","25","50","69","4","21","44","0","31","35.5692","1.5200","-37.980200210121055","145.08870754988965","21.780472724285165","15/05/2007","23"
"Monash","2007","5","38","67","92","3","31","50","0","46","33.5833","1.5263","-37.8895904730339","145.1279754519887","17.038772411361293","15/05/2007","19"
"Whitehorse","2007","5","23","44","57","2","19","32","0","31","36.3774","1.3913","-37.83217544066523","145.1487767868625","16.708973371354467","15/05/2007","13"
"Frankston","2007","5","19","33","56","1","24","28","0","26","30.9444","1.3684","-38.12316334227447","145.14991707168326","38.32689281384732","15/05/2007","4"
"Manningham","2007","5","15","23","31","0","14","13","0","19","32.6667","1.6000","-37.76980231557271","145.16829853127857","18.899544525123982","15/05/2007","-1"
"Greater Dandenong","2007","5","39","79","113","2","47","57","2","61","34.6574","1.6154","-37.97888808038544","145.18690305807775","27.158755031920197","15/05/2007","10"
"Nillumbik","2007","5","14","18","23","1","10","12","1","17","27.6364","1.5714","-37.67854344549572","145.20382346840623","26.10222929612957","15/05/2007","2"
"Maroondah","2007","5","24","40","65","1","27","35","1","42","30.5968","1.4583","-37.8103264591718","145.25647296723307","26.031683480790914","15/05/2007","8"
"Knox","2007","5","42","76","100","2","36","57","0","58","32.1753","1.4524","-37.8818533270996","145.2610440162162","27.517421437476155","15/05/2007","21"
"Casey","2007","5","44","81","104","1","43","54","2","61","32.9400","1.6364","-38.065487365060704","145.29234285689378","40.48584803271636","15/05/2007","11"
"Greater Shepparton","2007","5","11","17","23","1","8","11","0","13","33.7143","1.2727","-36.41067321151003","145.39078901946635","160.49925053771904","15/05/2007","3"
"Bass Coast","2007","5","5","10","19","1","7","11","0","8","46.7778","1.4000","-38.48858342672459","145.4157635117122","85.06707121785283","15/05/2007","4"
"Yarra Ranges","2007","5","37","56","78","2","27","47","1","45","35.5067","1.5405","-37.769644544993824","145.4522464348015","43.50395990262535","15/05/2007","20"
"Cardinia","2007","5","18","30","44","2","17","26","0","26","34.4651","1.4444","-38.057685997850555","145.48330917262058","53.3615743633617","15/05/2007","9"
"Strathbogie","2007","5","5","5","10","0","8","2","1","8","31.4000","2.0000","-36.70552854850537","145.5498170003437","133.7080488290909","15/05/2007","-6"
"Murrindindi","2007","5","10","13","14","0","2","10","1","9","40.5000","1.5000","-37.40184434986847","145.60112141455858","72.62526949819662","15/05/2007","8"
"Moira","2007","5","5","9","12","0","4","8","1","5","32.6667","1.6000","-36.03095606530575","145.60246321716704","206.17601786429896","15/05/2007","4"
"South Gippsland","2007","5","7","10","14","2","4","10","0","10","31.1429","1.7143","-38.4628099399966","146.02280485077392","117.74379862949264","15/05/2007","6"
"Baw Baw","2007","5","13","14","16","1","6","9","0","13","42.9333","1.6154","-38.1123896674284","146.03266901039422","99.75656317949687","15/05/2007","3"
"Benalla","2007","5","3","4","4","0","0","4","0","3","37.5000","1.6667","-36.51947341764287","146.03294760368416","172.37077053560046","15/05/2007","4"
"Mansfield","2007","5","1","1","1","0","0","1","0","1","46.0000","1.0000","-37.31397285568136","146.1371036722913","117.62599779678469","15/05/2007","1"
"Wangaratta","2007","5","4","4","8","0","3","4","0","4","21.8571","1.0000","-36.36481125324211","146.32998654235297","201.69028036258493","15/05/2007","1"
"Latrobe","2007","5","16","26","38","1","12","23","2","15","31.3333","1.5625","-38.232990967139614","146.45966387098247","139.41644810635074","15/05/2007","11"
"Indigo","2007","5","7","11","16","0","6","9","2","8","41.6000","1.8571","-36.14016139319261","146.65044844806206","239.0097289759773","15/05/2007","3"
"Wodonga","2007","5","5","6","9","0","3","5","0","6","23.6250","1.4000","-36.11359933969904","146.83605870855595","251.92145367361192","15/05/2007","2"
"Wellington","2007","5","10","18","27","1","14","11","1","14","43.7600","1.8000","-38.05515545229618","146.89796684429712","172.07186920299262","15/05/2007","-3"
"Alpine","2007","5","4","4","6","0","0","6","0","6","40.6667","1.2500","-36.70373604576285","146.90286052784214","211.56825335060438","15/05/2007","6"
"Towong","2007","5","4","4","5","0","2","3","0","5","35.4000","1.7500","-36.20338460407787","147.3073979003342","274.6813948102063","15/05/2007","1"
"East Gippsland","2007","5","5","7","9","0","3","6","0","9","47.6667","1.8000","-37.46438300210525","148.25657167437248","292.81458837401414","15/05/2007","3"
"Hindmarsh","2007","6","2","3","4","1","2","2","0","2","59.0000","1.5000","-36.43067832127379","141.79238984889338","320.12248942620766","15/06/2007","0"
"Southern Grampians","2007","6","1","1","1","0","0","1","0","1","36.0000","1.0000","-37.741692966300114","142.02285572946744","258.264720151464","15/06/2007","1"
"Mildura","2007","6","5","9","13","0","5","7","0","10","26.1667","1.4000","-34.21054032468392","142.14873397968785","473.618918128231","15/06/2007","2"
"Horsham","2007","6","3","7","8","0","4","4","0","6","42.0000","1.0000","-36.71834595089307","142.1925086472202","273.4622317814556","15/06/2007","0"
"Moyne","2007","6","3","5","5","0","3","2","1","3","41.2000","2.3333","-38.229347419859145","142.23852457597025","242.8602699673571","15/06/2007","-1"
"Warrnambool","2007","6","2","3","8","0","3","4","0","5","18.1429","2.0000","-38.38070755968565","142.51084402128615","223.43851282821382","15/06/2007","1"
"Ararat","2007","6","2","4","5","0","4","1","0","2","57.4000","1.5000","-37.28937891592791","142.8670721213973","193.4700942660191","15/06/2007","-3"
"Corangamite","2007","6","2","3","3","0","2","1","0","2","23.3333","1.0000","-38.166907497349946","143.12726526791857","165.38249241746752","15/06/2007","-1"
"Northern Grampians","2007","6","2","3","4","0","1","3","0","3","20.5000","2.0000","-36.62503697419274","143.25718313690382","200.436699646645","15/06/2007","2"
"Swan Hill","2007","6","3","5","7","0","5","2","0","5","37.7143","1.6667","-35.42789749858417","143.43551607824153","298.03122815185344","15/06/2007","-3"
"Pyrenees","2007","6","3","3","4","0","2","2","0","4","46.7500","1.6667","-37.41016710937468","143.43988843857596","141.19115263296342","15/06/2007","0"
"Colac-Otway","2007","6","5","5","6","0","1","5","0","6","37.3333","1.6000","-38.49920812887177","143.53761122589785","145.93966099784927","15/06/2007","4"
"Golden Plains","2007","6","1","3","3","0","2","1","0","2","37.6667","1.0000","-37.681324657672874","143.65514259045693","115.66692932899291","15/06/2007","-1"
"Central Goldfields","2007","6","3","5","10","0","2","8","1","3","25.6000","2.0000","-37.08845451911083","143.73683081550385","134.70527492478013","15/06/2007","6"
"Ballarat","2007","6","22","38","62","1","27","31","1","34","34.2542","1.5455","-37.563329499639366","143.84647899810784","101.84229728580006","15/06/2007","4"
"Gannawarra","2007","6","6","10","48","0","22","26","12","33","44.2083","2.1667","-35.71156417730082","143.9580276854973","250.09841159223467","15/06/2007","4"
"Hepburn","2007","6","3","3","3","0","1","2","0","3","37.3333","1.0000","-37.32104290393722","144.08620587654784","94.45232950919117","15/06/2007","1"
"Surf Coast","2007","6","3","3","4","0","3","1","0","3","26.5000","1.6667","-38.382435895330964","144.0868817530667","99.26597913566287","15/06/2007","-2"
